runName,DataFile,LineFile,redshift,N_Fits,ContiWindows,LineWindows,useBalmer,useFe,Fe_uv,Fe_opt,lineShift,smoothStddev,clipStddev,clipBoxWidth,clipBufferWidth,plotWindow,lineComplexInd
g1031573-184633_WiFeS,data/g1031573-184633_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.040415,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1031573-184633_6dFGS,data/g1031573-184633_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.040415,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1110588-744628_WiFeS,data/g1110588-744628_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.041562,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1110588-744628_6dFGS,data/g1110588-744628_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.041562,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1321353-001306_WiFeS,data/g1321353-001306_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.082221,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1321353-001306_6dFGS,data/g1321353-001306_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.082221,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1628484-030408_WiFeS,data/g1628484-030408_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.092894,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1628484-030408_6dFGS,data/g1628484-030408_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.092894,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1926311-191703_WiFeS,data/g1926311-191703_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.083398,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1926311-191703_6dFGS,data/g1926311-191703_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.083398,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1824306-511224_WiFeS,data/g1824306-511224_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.078549,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1824306-511224_6dFGS,data/g1824306-511224_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.078549,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1410487-364412_WiFeS,data/g1410487-364412_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.062627,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1410487-364412_6dFGS,data/g1410487-364412_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.062627,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2039272-301852_WiFeS,data/g2039272-301852_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.079091,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2039272-301852_6dFGS,data/g2039272-301852_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.079091,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2047337-361358_WiFeS,data/g2047337-361358_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.093863,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2047337-361358_6dFGS,data/g2047337-361358_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.093863,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1328311-490906_WiFeS,data/g1328311-490906_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.047915,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1328311-490906_6dFGS,data/g1328311-490906_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.047915,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1705004-013229_WiFeS,data/g1705004-013229_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.030162,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1705004-013229_6dFGS,data/g1705004-013229_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.030162,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0827501-142713_WiFeS,data/g0827501-142713_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.068417,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0827501-142713_6dFGS,data/g0827501-142713_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.068417,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0629569-265832_WiFeS,data/g0629569-265832_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.072372,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0629569-265832_6dFGS,data/g0629569-265832_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.072372,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0910208-053058_WiFeS,data/g0910208-053058_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.055959,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0910208-053058_6dFGS,data/g0910208-053058_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.055959,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1937330-061305_WiFeS,data/g1937330-061305_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.010382,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1937330-061305_6dFGS,data/g1937330-061305_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.010382,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1316092-143641_WiFeS,data/g1316092-143641_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.081251,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1316092-143641_6dFGS,data/g1316092-143641_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.081251,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0546563-333742_WiFeS,data/g0546563-333742_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.034897,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0546563-333742_6dFGS,data/g0546563-333742_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.034897,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1557032-074134_WiFeS,data/g1557032-074134_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.081524,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1557032-074134_6dFGS,data/g1557032-074134_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.081524,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1037038-112625_WiFeS,data/g1037038-112625_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.051586,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1037038-112625_6dFGS,data/g1037038-112625_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.051586,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1238285-490138_WiFeS,data/g1238285-490138_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.028032,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1238285-490138_6dFGS,data/g1238285-490138_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.028032,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0418562-023322_WiFeS,data/g0418562-023322_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.017349,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0418562-023322_6dFGS,data/g0418562-023322_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.017349,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1724226-131446_WiFeS,data/g1724226-131446_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.092084,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1724226-131446_6dFGS,data/g1724226-131446_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.092084,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2125407-490938_WiFeS,data/g2125407-490938_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.074351,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2125407-490938_6dFGS,data/g2125407-490938_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.074351,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0643397-412030_WiFeS,data/g0643397-412030_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.036006,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0643397-412030_6dFGS,data/g0643397-412030_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.036006,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0843268-095121_WiFeS,data/g0843268-095121_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.040878,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0843268-095121_6dFGS,data/g0843268-095121_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.040878,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1904203-410303_WiFeS,data/g1904203-410303_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.067543,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1904203-410303_6dFGS,data/g1904203-410303_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.067543,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0522580-362731_WiFeS,data/g0522580-362731_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.056539,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0522580-362731_6dFGS,data/g0522580-362731_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.056539,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1240470-333412_WiFeS,data/g1240470-333412_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.055109,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1240470-333412_6dFGS,data/g1240470-333412_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.055109,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0618343-413916_WiFeS,data/g0618343-413916_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.082503,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0618343-413916_6dFGS,data/g0618343-413916_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.082503,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1423502-092318_WiFeS,data/g1423502-092318_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.068345,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1423502-092318_6dFGS,data/g1423502-092318_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.068345,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2157170-263059_WiFeS,data/g2157170-263059_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.034096,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2157170-263059_6dFGS,data/g2157170-263059_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.034096,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1323403-012749_WiFeS,data/g1323403-012749_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.076842,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1323403-012749_6dFGS,data/g1323403-012749_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.076842,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1202170-342515_WiFeS,data/g1202170-342515_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.058772,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1202170-342515_6dFGS,data/g1202170-342515_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.058772,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2205311-373711_WiFeS,data/g2205311-373711_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.05649,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2205311-373711_6dFGS,data/g2205311-373711_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.05649,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1856301-285502_WiFeS,data/g1856301-285502_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.099463,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1856301-285502_6dFGS,data/g1856301-285502_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.099463,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0708415-493306_WiFeS,data/g0708415-493306_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.04055,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0708415-493306_6dFGS,data/g0708415-493306_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.04055,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2040111-013709_WiFeS,data/g2040111-013709_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.030447,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2040111-013709_6dFGS,data/g2040111-013709_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.030447,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0827341-021247_WiFeS,data/g0827341-021247_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.03941,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0827341-021247_6dFGS,data/g0827341-021247_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.03941,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1554069-362556_WiFeS,data/g1554069-362556_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.093127,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1554069-362556_6dFGS,data/g1554069-362556_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.093127,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0814187-104101_WiFeS,data/g0814187-104101_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.069285,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0814187-104101_6dFGS,data/g0814187-104101_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.069285,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0939088-251550_WiFeS,data/g0939088-251550_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.085493,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0939088-251550_6dFGS,data/g0939088-251550_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.085493,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1219350-135715_WiFeS,data/g1219350-135715_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.069703,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1219350-135715_6dFGS,data/g1219350-135715_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.069703,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2149074-175159_WiFeS,data/g2149074-175159_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.063132,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2149074-175159_6dFGS,data/g2149074-175159_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.063132,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1909389-622856_WiFeS,data/g1909389-622856_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.08524,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1909389-622856_6dFGS,data/g1909389-622856_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.08524,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2146361-305141_WiFeS,data/g2146361-305141_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.075472,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2146361-305141_6dFGS,data/g2146361-305141_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.075472,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2215041-033527_WiFeS,data/g2215041-033527_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.090298,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2215041-033527_6dFGS,data/g2215041-033527_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.090298,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2202338-073225_WiFeS,data/g2202338-073225_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.059613,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2202338-073225_6dFGS,data/g2202338-073225_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.059613,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1729163-685442_WiFeS,data/g1729163-685442_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.0483,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
